x filter(x) xRef y_RA_100 y_RA_256
86.035534 22.107813 83.535534 78.627342 53.269818
85.836576 22.344522 83.524409 78.698720 53.397032
85.576939 22.582613 83.513250 78.766821 53.522735
85.259030 22.821997 83.502056 78.831101 53.646705
84.886703 23.062757 83.490827 78.891057 53.768736
84.465159 23.304956 83.479564 78.946246 53.888644
84.000823 23.548479 83.468267 78.996292 54.006270
83.501195 23.793373 83.456935 79.040895 54.121484
82.974662 24.039612 83.445569 79.079843 54.234192
82.430300 24.287247 83.434169 79.113016 54.344333
81.877651 24.536240 83.422736 79.140388 54.451885
81.326492 24.786678 83.411268 79.162033 54.556864
80.786602 25.038523 83.399767 79.178118 54.659324
80.267516 25.291840 83.388232 79.188904 54.759356
79.778304 25.546427 83.376664 79.194739 54.857086
79.327343 25.802485 83.365063 79.196052 54.952673
78.922117 26.059866 83.353428 79.193340 55.046304
78.569037 26.318686 83.341760 79.187159 55.138189
78.273284 26.578947 83.330059 79.178111 55.228561
78.038688 26.840633 83.318326 79.166829 55.317663
77.867633 27.103651 83.306559 79.153966 55.405749
77.761004 27.368141 83.294760 79.140174 55.493074
77.718168 27.633968 83.282929 79.126095 55.579891
77.736989 27.901012 83.271065 79.112341 55.666442
77.813891 28.169651 83.259169 79.099485 55.752955
77.943939 28.439552 83.247240 79.088044 55.839639
78.120974 28.710712 83.235280 79.078469 55.926675
78.337756 28.983318 83.223287 79.071136 56.014219
78.586155 29.256977 83.211263 79.066334 56.102390
78.857346 29.532154 83.199207 79.064265 56.191277
79.142035 29.808487 83.187120 79.065035 56.280928
79.430684 30.086124 83.175001 79.068655 56.371357
79.713754 30.364922 83.162851 79.075042 56.462538
79.981935 30.644878 83.150669 79.084021 56.554411
80.226387 30.925964 83.138457 79.095332 56.646879
80.438948 31.208267 83.126213 79.108635 56.739817
80.612346 31.491768 83.113939 79.123523 56.833069
80.740377 31.776470 83.101634 79.139532 56.926457
80.818057 32.062057 83.089298 79.156151 57.019784
80.841749 32.349079 83.076932 79.172840 57.112838
80.809253 32.636990 83.064535 79.189042 57.205402
80.719861 32.926109 83.052108 79.204198 57.297256
80.574377 33.216148 83.039651 79.217765 57.388182
80.375097 33.507317 83.027165 79.229223 57.477975
80.125754 33.799637 83.014648 79.238100 57.566443
79.831426 34.092991 83.002101 79.243974 57.653415
79.498415 34.387405 82.989525 79.246494 57.738747
79.134086 34.682777 82.976919 79.245381 57.822323
78.746693 34.979324 82.964284 79.240443 57.904059
78.345173 35.276905 82.951620 79.231579 57.983907
77.938926 35.575562 82.938926 79.218781 58.061856
77.537585 35.875141 82.926204 79.202135 58.137933
77.150776 36.175995 82.913452 79.181825 58.212202
76.787886 36.477673 82.900672 79.158122 58.284763
76.457827 36.780605 82.887864 79.131387 58.355752
76.168818 37.084412 82.875026 79.102054 58.425334
75.928182 37.389359 82.862161 79.070630 58.493705
75.742167 37.695408 82.849267 79.037675 58.561081
75.615788 38.002411 82.836345 79.003795 58.627701
75.552705 38.310371 82.823395 78.969625 58.693815
75.555134 38.619431 82.810417 78.935819 58.759679
75.623787 38.929478 82.797411 78.903026 58.825555
75.757854 39.240273 82.784378 78.871886 58.891696
75.955028 39.552319 82.771317 78.843006 58.958350
76.211552 39.865131 82.758229 78.816952 59.025745
76.522315 40.178871 82.745114 78.794233 59.094091
76.880975 40.493687 82.731972 78.775290 59.163571
77.280116 40.809208 82.718802 78.760486 59.234339
77.711424 41.125664 82.705606 78.750099 59.306515
78.165894 41.442860 82.692383 78.744315 59.380185
78.634049 41.760872 82.679134 78.743223 59.455395
79.106169 42.079834 82.665858 78.746817 59.532156
79.572532 42.399330 82.652556 78.754992 59.610439
80.023648 42.719582 82.639228 78.767553 59.690178
80.450493 43.040718 82.625873 78.784216 59.771273
80.844726 43.362457 82.612493 78.804617 59.853591
81.198894 43.684891 82.599087 78.828323 59.936971
81.506612 44.007896 82.585655 78.854841 60.021227
81.762719 44.331589 82.572198 78.883631 60.106155
81.963401 44.655678 82.558715 78.914124 60.191535
82.106281 44.980507 82.545207 78.945730 60.277139
82.190478 45.305939 82.531674 78.977856 60.362738
82.216623 45.631943 82.518116 79.009923 60.448105
82.186842 45.958458 82.504533 79.041378 60.533022
82.104700 46.285400 82.490926 79.071707 60.617286
81.975108 46.612976 82.477293 79.100454 60.700715
81.804203 46.941414 82.463637 79.127224 60.783151
81.599193 47.269806 82.449956 79.151699 60.864464
81.368170 47.599129 82.436251 79.173644 60.944556
81.119918 47.928642 82.422521 79.192914 61.023366
80.863683 48.258652 82.408768 79.209456 61.100867
80.608950 48.589432 82.394992 79.223313 61.177071
80.365199 48.920609 82.381191 79.234618 61.252024
80.141675 49.252129 82.367367 79.243599 61.325812
79.947150 49.584160 82.353520 79.250565 61.398552
79.789710 49.916573 82.339649 79.255903 61.470392
79.676547 50.249496 82.325755 79.260068 61.541510
79.613781 50.582756 82.311839 79.263570 61.612105
79.606305 50.916489 82.297899 79.266963 61.682395
79.657663 51.250717 82.283937 79.270832 61.752611
79.769952 51.585419 82.269952 79.275774 61.822991
79.943778 51.920158 82.255945 79.282387 61.893775
80.178227 52.255806 82.241916 79.291257 61.965199
80.470890 52.591148 82.227865 79.302937 62.037487
80.817915 52.927139 82.213791 79.317936 62.110848
81.214101 53.263153 82.199696 79.336710 62.185470
81.653022 53.599594 82.185579 79.359644 62.261515
82.127180 53.936218 82.171440 79.387046 62.339115
82.628187 54.273239 82.157280 79.419136 62.418369
83.146968 54.610291 82.143099 79.456045 62.499340
83.673981 54.947395 82.128896 79.497807 62.582054
84.199449 55.284698 82.114673 79.544358 62.666497
84.713594 55.622078 82.100429 79.595538 62.752618
85.206879 55.959335 82.086164 79.651096 62.840330
85.670237 56.296638 82.071878 79.710692 62.929510
86.095291 56.634338 82.057572 79.773906 63.020001
86.474556 56.971962 82.043245 79.840249 63.111620
86.801622 57.309303 82.028899 79.909173 63.204159
87.071307 57.646408 82.014532 79.980085 63.297390
87.279783 57.983856 82.000146 80.052360 63.391072
87.424666 58.320572 81.985739 80.125353 63.484953
87.505070 58.657501 81.971314 80.198419 63.578781
87.521630 58.994293 81.956868 80.270926 63.672308
87.476479 59.331245 81.942404 80.342268 63.765293
87.373198 59.667496 81.927920 80.411882 63.857512
87.216718 60.003571 81.913417 80.479256 63.948758
87.013202 60.339729 81.898895 80.543949 64.038854
86.769887 60.675186 81.884355 80.605592 64.127647
86.494905 61.011169 81.869796 80.663902 64.215019
86.197080 61.346443 81.855219 80.718686 64.300887
85.885708 61.681381 81.840623 80.769844 64.385202
85.570326 62.016060 81.826009 80.817374 64.467957
85.260474 62.350784 81.811377 80.861365 64.549177
84.965461 62.684929 81.796727 80.902000 64.628929
84.694130 63.018875 81.782059 80.939545 64.707308
84.454640 63.352325 81.767374 80.974348 64.784446
84.254264 63.686012 81.752672 81.006823 64.860500
84.099209 64.018875 81.737952 81.037440 64.935651
83.994456 64.351379 81.723215 81.066718 65.010100
83.943644 64.683762 81.708461 81.095202 65.084059
83.948972 65.015549 81.693690 81.123457 65.157750
84.011150 65.346848 81.678902 81.152048 65.231396
84.129372 65.677917 81.664098 81.181527 65.305216
84.301345 66.008408 81.649277 81.212416 65.379420
84.523334 66.338074 81.634440 81.245197 65.454201
84.790262 66.668091 81.619587 81.280297 65.529732
85.095828 66.996887 81.604718 81.318075 65.606163
85.432667 67.325577 81.589833 81.358813 65.683610
85.792524 67.653732 81.574933 81.402711 65.762160
86.166463 67.980499 81.560016 81.449877 65.841865
86.545085 68.307434 81.545085 81.500325 65.922737
86.918757 68.632950 81.530138 81.553973 66.004752
87.277852 68.958221 81.515176 81.610645 66.087850
87.612986 69.282608 81.500200 81.670074 66.171933
87.915245 69.606094 81.485208 81.731907 66.256868
88.176410 69.928787 81.470202 81.795714 66.342491
88.389160 70.250839 81.455181 81.860996 66.428611
88.547246 70.572250 81.440146 81.927196 66.515012
88.645653 70.891876 81.425096 81.993716 66.601459
88.680722 71.211304 81.410033 82.059924 66.687707
88.650238 71.529556 81.394956 82.125174 66.773498
88.553489 71.847046 81.379864 82.188821 66.858576
88.391283 72.163498 81.364760 82.250231 66.942688
88.165931 72.479218 81.349641 82.308803 67.025591
87.881188 72.793808 81.334510 82.363975 67.107058
87.542165 73.106689 81.319365 82.415244 67.186883
87.155204 73.419250 81.304208 82.462174 67.264884
86.727723 73.730850 81.289037 82.504408 67.340911
86.268036 74.041565 81.273854 82.541671 67.414845
85.785147 74.350449 81.258658 82.573785 67.486604
85.288534 74.658554 81.243449 82.600663 67.556143
84.787918 74.965149 81.228229 82.622319 67.623454
84.293020 75.271698 81.212996 82.638861 67.688570
83.813331 75.576279 81.197751 82.650489 67.751557
83.357875 75.880020 81.182495 82.657493 67.812519
82.934994 76.182541 81.167227 82.660241 67.871592
82.552140 76.484253 81.151947 82.659171 67.928937
82.215699 76.784790 81.136656 82.654780 67.984745
81.930832 77.083893 81.121354 82.647612 68.039222
81.701355 77.381378 81.106040 82.638243 68.092590
81.529642 77.678543 81.090716 82.627267 68.145078
81.416577 77.974136 81.075381 82.615280 68.196920
81.361528 78.268555 81.060036 82.602866 68.248344
81.362370 78.561615 81.044679 82.590584 68.299571
81.415539 78.853470 81.029313 82.578950 68.350805
81.516122 79.143661 81.013936 82.568427 68.402232
81.657983 79.432571 80.998550 82.559413 68.454013
81.833917 79.720383 80.983153 82.552230 68.506278
82.035828 80.006760 80.967747 82.547117 68.559128
82.254935 80.291962 80.952332 82.544224 68.612627
82.481992 80.574905 80.936907 82.543608 68.666804
82.707514 80.856918 80.921472 82.545231 68.721651
82.922021 81.137863 80.906029 82.548961 68.777121
83.116269 81.416458 80.890576 82.554578 68.833133
83.281485 81.693573 80.875115 82.561775 68.889572
83.409585 81.969162 80.859646 82.570169 68.946291
83.493376 82.243805 80.844167 82.579310 69.003115
83.526738 82.515350 80.828681 82.588690 69.059848
83.504780 82.786682 80.813186 82.597761 69.116274
83.423958 83.055847 80.797683 82.605941 69.172163
83.282172 83.323059 80.782172 82.612636 69.227280
83.078821 83.588211 80.766654 82.617252 69.281388
82.814817 83.852570 80.751128 82.619208 69.334253
82.492569 84.114426 80.735595 82.617954 69.385653
82.115930 84.374817 80.720054 82.612984 69.435380
81.690101 84.633606 80.704506 82.603846 69.483250
81.221508 84.890060 80.688951 82.590160 69.529103
80.717650 85.145096 80.673390 82.571620 69.572808
80.186915 85.398666 80.657822 82.548009 69.614269
