Freq Amp Phase Re(H) Im(H) GroupDelay PhaseDelay 20Log10(Amp)
6.900000e+001 9.436539e-004 -2.635997e+000 -8.255898e-004 -4.570385e-004 7.930311e-003 -6.080174e-003 -6.050375e+001
7.000000e+001 9.091167e-004 -2.643679e+000 -7.987327e-004 -4.341881e-004 7.682057e-003 -6.010780e-003 -6.082761e+001
7.100000e+001 8.744893e-004 -2.651124e+000 -7.713978e-004 -4.119185e-004 7.445271e-003 -5.942811e-003 -6.116491e+001
7.200000e+001 8.398740e-004 -2.658344e+000 -7.437000e-004 -3.902547e-004 7.219158e-003 -5.876230e-003 -6.151572e+001
7.300000e+001 8.053580e-004 -2.665348e+000 -7.157401e-004 -3.692121e-004 7.004641e-003 -5.811005e-003 -6.188022e+001
7.400000e+001 7.710166e-004 -2.672147e+000 -6.876074e-004 -3.488016e-004 6.798916e-003 -5.747100e-003 -6.225873e+001
7.500000e+001 7.369175e-004 -2.678750e+000 -6.593840e-004 -3.290291e-004 6.602420e-003 -5.684483e-003 -6.265162e+001
7.600000e+001 7.031143e-004 -2.685165e+000 -6.311382e-004 -3.098939e-004 6.414966e-003 -5.623121e-003 -6.305948e+001
7.700000e+001 6.696560e-004 -2.691400e+000 -6.029336e-004 -2.913937e-004 6.235076e-003 -5.562981e-003 -6.348296e+001
7.800000e+001 6.365816e-004 -2.697463e+000 -5.748235e-004 -2.735216e-004 6.062981e-003 -5.504032e-003 -6.392292e+001
7.900000e+001 6.039243e-004 -2.703361e+000 -5.468555e-004 -2.562686e-004 5.898299e-003 -5.446244e-003 -6.438035e+001
8.000000e+001 5.717122e-004 -2.709101e+000 -5.190714e-004 -2.396242e-004 5.740117e-003 -5.389585e-003 -6.485645e+001
8.100000e+001 5.399685e-004 -2.714690e+000 -4.915076e-004 -2.235760e-004 5.588551e-003 -5.334028e-003 -6.535263e+001
8.200000e+001 5.087109e-004 -2.720132e+000 -4.641949e-004 -2.081103e-004 5.442787e-003 -5.279543e-003 -6.587058e+001
